Incident_ID,Media_Attention,Date,School,City,State,City_Lat,City_Lon,School_Level,Targets
20090220CAJOH,,2009-02-20,John Muir Elementary School,Hayward,CA,37.6688205,-122.080796,Elementary,Victims Targeted
20041022CATYH,,2004-10-22,Tyrrell Elementary School,Hayward,CA,37.6688205,-122.080796,Elementary,Victims Targeted
19960604CAWEH,,1996-06-04,West Valley High School,Hemet,CA,33.7475203,-116.9719684,High,Victims Targeted
20170321CAKIK,Regional,2017-03-21,King City High School,King City,CA,36.2127439,-121.126028,High,Victims Targeted
20081202CAKIK,,2008-12-02,King City High School,King City,CA,36.2127439,-121.126028,High,Both
20220530CAHEL,Local,2022-05-30,Helix High School,La Mesa,CA,32.7678288,-117.0230839,High,Victims Targeted
20201109CABAL,Local,2020-11-09,Baldwin Elementary School,La Puente,CA,34.035413,-117.9505673,Elementary,Victims Targeted
20171227CALIL,,2017-12-27,Lincoln Elementary School,Lancaster,CA,34.6981064,-118.1366153,Elementary,Victims Targeted
20091030CAWIL,,2009-10-30,Wilson High School,Long Beach,CA,33.7690164,-118.191604,High,Both
19950202CAJOL,,1995-02-02,Jordan High School,Long Beach,CA,33.7690164,-118.191604,High,Victims Targeted
19700323CADAL,,1970-03-23,David Starr Jordan High School,Long Beach,CA,33.7690164,-118.191604,High,Neither
20220601CAULL,Regional,2022-06-01,Ulysses S. Grant Senior High School,Los Angeles,CA,34.052235,-118.243683,High,Victims Targeted
20211130CALOL,Local,2021-11-30,Los Angeles School Bus,Los Angeles,CA,34.0536909,-118.242766,,Neither
20210902CASAL,Regional,2021-09-02,Santee High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
20210902CASAL,Regional,2021-09-02,Santee High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
20210511CAVEL,Local,2021-05-11,Verbum Dei High School,Los Angeles,CA,34.0536909,-118.242766,High,Random Shooting
20200930CADYL,Local,2020-09-30,Dymally High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
20180201CASAL,Regional,2018-02-01,Salvador B. Castro Middle School,Los Angeles,CA,34.0536909,-118.242766,Middle,Random Shooting
20110118CAGAL,National,2011-01-18,Gardena High School,Los Angeles,CA,34.0536909,-118.242766,High,Random Shooting
20090413CALOL,,2009-04-13,Locke High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
20060605CAVEL,,2006-06-05,Venice High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
20040305CASAL,,2004-03-05,Saledad Enrichment Action Charter High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
20020206CAGAL,,2002-02-06,Gardena High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
20001201CAGRL,,2000-12-01,Granada Hills High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19970428CAJOL,,1997-04-28,John Marshall High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19960726CAJOL,,1996-07-26,John Marshall High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19940919CALOL,,1994-09-19,Locke High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19940907CAHOL,,1994-09-07,Hollywood High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19940413CA49L,,1994-04-13,49th Street Elementary School,Los Angeles,CA,34.0536909,-118.242766,Elementary,Victims Targeted
19930707CADOL,,1993-07-07,Dorsey High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19930222CAREL,Regional,1993-02-22,Reseda High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19930121CAFAL,,1993-01-21,Fairfax High School,Los Angeles,CA,34.0536909,-118.242766,High,Random Shooting
19920930CAPAL,Regional,1992-09-30,Paramount High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19920529CAVEL,,1992-05-29,Venice High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19911004CADOL,,1991-10-04,Dorsey High School,Los Angeles,CA,34.0536909,-118.242766,High,Random Shooting
19910722CAWEL,,1991-07-22,Westchester High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19870114CALOL,,1987-01-14,Los Angeles High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19860912CAFAL,,1986-09-12,Fairfax High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19860117CAVAL,,1986-01-17,Vanguard Junior High School,Los Angeles,CA,34.0536909,-118.242766,Junior High,Victims Targeted
19840224CA49L,,1984-02-24,49th Street Elementary School,Los Angeles,CA,34.0536909,-118.242766,Elementary,Random Shooting
19831007CACOL,,1983-10-07,Compton High School,Los Angeles,CA,34.0536909,-118.242766,High,Random Shooting
19810210CAMAL,,1981-02-10,Manuel Arts High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19800902CAWHL,,1980-09-02,Whittier High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19790328CALOL,,1979-03-28,Los Angeles High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19741218CAMAL,,1974-12-18,Manual Arts High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19740122CALOL,,1974-01-22,Locke High School,Los Angeles,CA,34.0536909,-118.242766,High,Random Shooting
19731206CAFRL,,1973-12-06,Fremont High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19730928CAWIL,,1973-09-28,Wilson High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19730405CALOL,,1973-04-05,Locke High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19730118CAJOL,,1973-01-18,John Marshall High School,Los Angeles,CA,34.0536909,-118.242766,High,Victims Targeted
19721111CAJEL,,1972-11-11,Jefferson High School,Los Angeles,CA,34.0536909,-118.242766,High,Both
19720228CAMAL,,1972-02-28,Markham Junior High School,Los Angeles,CA,34.0536909,-118.242766,Junior High,Random Shooting
19711206CALOL,,1971-12-06,Louis Stevenson Junior High School,Los Angeles,CA,34.0536909,-118.242766,Junior High,Both
19960208CAMIM,,1996-02-08,Mid-Peninsula High School,Menlo Park,CA,37.4519671,-122.177992,High,Random Shooting
20150215CATEM,Local,2015-02-15,Tenaya Middle School,Merced,CA,37.1641544,-120.7678602,Middle,Victims Targeted
20040512CAEAM,,2004-05-12,East Campus Educational Center,Merced,CA,37.1641544,-120.7678602,K-12,Both
20000126CAALM,Local,2000-01-26,Alicia Reyes Elementary School,Merced,CA,37.1641544,-120.7678602,Elementary,Victims Targeted
19920606CAMEM,,1992-06-06,Merced High School,Merced,CA,37.1641544,-120.7678602,High,Victims Targeted
20210620CAGRM,Local,2021-06-20,Modesto Christian School,Modesto,CA,37.6390972,-120.9968782,K-12,Neither
19861003CAMOM,,1986-10-03,Monrovia High School,Monrovia,CA,34.1483499,-118.0014517,High,Both
19840518CANON,,1984-05-18,Norco High School,Norco,CA,33.9323307,-117.5508901,High,Both
19971022CAJON,,1997-10-22,John Glenn High School,Norwalk,CA,33.9092802,-118.0849169,High,Victims Targeted
20061111CALIO,,2006-11-11,Lionel Wilson College Prep School,Oakland,CA,37.8044557,-122.271356,High,Both
20040609CACAO,,2004-06-09,Castlemont High School,Oakland,CA,37.8044557,-122.271356,High,Victims Targeted
19971020CAMCO,,1997-10-20,McClymonds High School,Oakland,CA,37.8044557,-122.271356,High,Victims Targeted
19740207CAJAO,,1974-02-07,James Madison Junior High School,Oakland,CA,37.8044557,-122.271356,Junior High,Neither
19920501CALIO,,1992-05-01,Lindhurst High School,Olivehurst,CA,39.0954484,-121.5521858,High,Both
20200123CAOXO,Regional,2020-01-23,Oxnard's Christa McAuliffe Elementary School,Oxnard,CA,34.1976308,-119.1803818,Elementary,Random Shooting
20080214CAEOO,National,2008-02-12,E O Green Junior High School,Oxnard,CA,34.1976308,-119.1803818,Junior High,Victims Targeted
20010110CAHUO,,2001-01-10,Hueneme High School,Oxnard,CA,34.1976308,-119.1803818,High,Random Shooting
19891122CACHO,,1989-11-22,Channel Islands High School,Oxnard,CA,34.1976308,-119.1803818,High,Victims Targeted
19991021CASAP,,1999-10-21,San Fernando High School,Pacoima,CA,34.2625025,-118.427027,High,Victims Targeted
20180511CAHIP,,2018-05-11,Highland High School,Palmdale,CA,34.5793131,-118.1171108,High,Victims Targeted
20210910CASTP,Local,2021-09-10,Stratford School,Palo Alto,CA,37.4443293,-122.1598465,Elementary,Random Shooting
19980527CAWAP,,1998-05-27,Washington Middle School,Pasadena,CA,34.1476507,-118.1441551,Middle,Victims Targeted
20220314CAKRP,National,2022-03-14,Kraemer Middle School,Placentia,CA,33.8714814,-117.8617337,Middle,Victims Targeted
20110202CALOP,National,2011-02-02,Louisiana Schnell Elementary School,Placerville,CA,38.7296252,-120.798546,Elementary,Victims Targeted
20200921CAPLP,Local,2020-09-21,Pleasant Hill Elementary School,Pleasant Hill,CA,37.9479786,-122.0607963,Elementary,Neither
20180920CAPOP,,2018-09-20,Pomona High School,Pomona,CA,34.0553813,-117.7517496,High,Victims Targeted
20040115CAPOP,,2004-01-15,Pomona High School,Pomona,CA,34.0553813,-117.7517496,High,Random Shooting
19980428CAPHP,,1998-04-28,Philadelphia Elementary School,Pomona,CA,34.0553813,-117.7517496,Elementary,Victims Targeted
20171114CARAR,National,2017-11-14,Rancho Tehama Elementary School,Rancho Tehama Reserve,CA,40.0027864,-122.4450792,Elementary,Neither
20220422CAMOR,Local,2022-04-22,Mountain View Middle School,Redding,CA,40.5863563,-122.391675,Middle,Random Shooting
19950123CASAR,,1995-01-23,Sacred Heart Middle School,Redlands,CA,34.0550328,-117.1827445,Middle,Victims Targeted
20011026CARER,,2001-10-26,Redondo Union High School,Redondo Beach,CA,33.8455911,-118.3886766,High,Random Shooting
19980521CARIR,,1998-05-21,Rialta High School,Rialto,CA,34.1064001,-117.3703235,High,Victims Targeted
20220311CADER,Local,2022-03-11,De Anza High School,Richmond,CA,37.9357576,-122.347748,High,Both
20190927CADER,Local,2019-09-27,De Anza High School,Richmond,CA,37.9357576,-122.347748,High,Both
20220316CALOR,National,2022-03-16,Loma Vista Middle School,Riverside,CA,33.9824949,-117.3742389,Middle,Neither
20220106CAFLS,Regional,2022-01-06,Florin High School,Sacramento,CA,38.5810606,-121.493895,High,Both
20080915CAMIS,,2008-09-15,Mira Loma High School,Sacramento,CA,38.5810606,-121.493895,High,Victims Targeted
20031001CARIS,,2003-10-01,Rio Cazadero High School,Sacramento,CA,38.5810606,-121.493895,High,Victims Targeted
19971113CACRS,,1997-11-13,Creekside Elementary School,Sacramento,CA,38.5810606,-121.493895,Elementary,Victims Targeted
19961127CAHIS,,1996-11-27,Highlands High School,Sacramento,CA,38.5810606,-121.493895,High,Victims Targeted
19920928CAHIS,,1992-09-28,Hiram Johnson High School,Sacramento,CA,38.5810606,-121.493895,High,Victims Targeted
20101001CAALS,,2010-10-01,Alisal High School,Salinas,CA,36.6744117,-121.655037,High,Victims Targeted
20220503CAARS,Local,2022-05-03,Arrowview Middle School,San Bernardino,CA,34.8253019,-116.0833144,Middle,Both
20170831CAARS,,2017-08-31,Arroyo Valley High School,San Bernardino,CA,34.8253019,-116.0833144,High,Victims Targeted
20170410CANOS,National,2017-04-10,North Park Elementary School,San Bernardino,CA,34.8253019,-116.0833144,Elementary,Both
20051019CASAS,,2005-10-19,San Gorgonio High School,San Bernardino,CA,34.8253019,-116.0833144,High,Victims Targeted
20210412CASAS,Regional,2021-04-12,San Diego High School,San Diego,CA,32.7174202,-117.1627728,High,Random Shooting
